,Code,Description,Units,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,201516,201617,201718,201819,201920,202021,202122,RSE indicator(b),% change since 201819,sig(c),trend since 201819(d),Unnamed: 59,reliability of 3 year percent relative SE
21,402,,p,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,û,-59,,,,û
22,403,,p,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,û, ,,,,û
23,404,,p,22.0,29.0,39.0,46.0,52.0,57.0,64.0,69.0,73.0,73.0,70.0,67.0,64.0,64.0,61.0,61.0,59.0,55.0,50.0,46.0,42.0,40.0,35.0,33.0,32.0,29.0,30.0,29.0,28.0,30.0,24.0,24.0,26.0,24.0,27.0,28.0,23.0,22.0,17.0,17.0,15.0,17.0,17.0,16.0,16.0,18.0,17.0,18.0,15.0,ü,-16,yes,,,üü
24,501,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,601,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
26,9017,,p,5.0,7.0,8.0,9.0,10.0,13.0,16.0,16.0,17.0,20.0,25.0,30.0,39.0,44.0,51.0,61.0,71.0,82.0,98.0,104.0,104.0,108.0,108.0,111.0,109.0,110.0,114.0,114.0,118.0,123.0,131.0,139.0,140.0,147.0,160.0,172.0,165.0,165.0,170.0,169.0,166.0,159.0,157.0,163.0,167.0,171.0,167.0,174.0,166.0,üüü,-3,,,,üüü
27,15,,p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,9.0,16.0,19.0,24.0,30.0,37.0,42.0,54.0,57.0,57.0,59.0,56.0,59.0,57.0,56.0,56.0,54.0,55.0,55.0,60.0,65.0,63.0,68.0,76.0,81.0,78.0,75.0,76.0,73.0,72.0,61.0,61.0,63.0,61.0,64.0,62.0,61.0,57.0,üü,-11,yes,m,,üüü
28,1502,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,7.0,8.0,9.0,10.0,11.0,11.0,12.0,11.0,11.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,ü,-19,yes,m,,üü
29,1503,,p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,10.0,12.0,16.0,21.0,27.0,32.0,42.0,45.0,46.0,48.0,49.0,51.0,49.0,48.0,48.0,46.0,47.0,48.0,52.0,56.0,54.0,58.0,66.0,69.0,66.0,64.0,66.0,63.0,63.0,53.0,53.0,54.0,53.0,54.0,53.0,52.0,49.0,üü,-9,yes,m,,üüü
30,901,,p,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,-4,,,,ü
31,11,,p,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,8.0,6.0,8.0,8.0,10.0,7.0,11.0,11.0,8.0,10.0,10.0,9.0,5.0,4.0,û,-61,yes,m,, 
32,1102,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,û,+8,,,,û
33,1103,,p,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,7.0,5.0,7.0,6.0,8.0,6.0,9.0,8.0,7.0,8.0,9.0,8.0,4.0,3.0,û,-67,yes,m,, 
34,1201,,p,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,û,+58,,,,û
