hhcat,SURVYR,hhcatDescription,codecat,codeDESCRIPTION,ew,ew2,mw,mw2,ewmw,combined_desc,estimate,calc1,calc2,calc3,standard_error,residual_standard_error
1,202021,lowest 10% income HHs,4104,All other pork,20419.24,46645916.95,5165.69,235103.6033,429252.7796,1_4104,1.976429093,0.111875371,0.008139078,0.008810542,0.663052444,33.54800061
1,202021,lowest 10% income HHs,4603,Ox liver,17714.18,113007113.6,5165.69,235103.6033,325518.1436,1_4603,1.714599599,0.360133627,0.007114687,0.008810542,1.031370471,60.15226363
1,202021,lowest 10% income HHs,4604,Lambs liver,1008.6,1017273.96,5165.69,235103.6033,16541.04,1_4604,0.097624906,1,0.006349587,0.008810542,0.097744957,100.1229721
1,202021,lowest 10% income HHs,4605,Pigs liver,472.29,223057.8441,5165.69,235103.6033,4902.3702,1_4605,0.045714125,1,0.004018824,0.008810542,0.045823519,100.2392995
1,202021,lowest 10% income HHs,4607,All other liver,0,0,5165.69,235103.6033,0,1_4607,0,NA,NA,0.008810542,NA,NA
1,202021,lowest 10% income HHs,5101,All offal other than liver,945.12,893251.8144,5165.69,235103.6033,20301.1776,1_5101,0.091480519,1,0.008316411,0.008810542,0.091503117,100.0247035
1,202021,lowest 10% income HHs,5502,"Bacon and ham joints, uncooked",59318.13,358491991.9,5165.69,235103.6033,1694291.827,1_5502,5.741549532,0.101883664,0.011058658,0.008810542,1.812325798,31.56509908
1,202021,lowest 10% income HHs,5505,"Bacon and ham rashers, uncooked",284813.26,2981699481,5165.69,235103.6033,11086620.16,1_5505,27.56778475,0.036757288,0.01507095,0.008810542,4.814260357,17.46335587
1,202021,lowest 10% income HHs,5801,Ham and bacon,294590.41,1594303498,5165.69,235103.6033,9644861.448,1_5801,28.51413945,0.018371042,0.012675907,0.008810542,3.434229099,12.04395141
1,202021,lowest 10% income HHs,5903,Cooked chicken and turkey,101186.47,429300203.2,5165.69,235103.6033,3844449.978,1_5903,9.794090431,0.041929164,0.014710025,0.008810542,1.859063879,18.98148575
1,202021,lowest 10% income HHs,5904,Takeaway chicken,208342.61,11185323965,5165.69,235103.6033,19597567.93,1_5904,20.16600009,0.257686915,0.036418809,0.008810542,9.672927289,47.96651416
1,202021,lowest 10% income HHs,6201,Corned beef - canned or sliced,34641.54,105621613.1,5165.69,235103.6033,585934.5102,1_6201,3.35304093,0.088015349,0.006548677,0.008810542,1.00746027,30.04616679
